レースコード,1=2=3,1=2=4,1=2=5,1=2=6,1=3=4,1=3=5,1=3=6,1=4=5,1=4=6,1=5=6,2=3=4,2=3=5,2=3=6,2=4=5,2=4=6,2=5=6,3=4=5,3=4=6,3=5=6,4=5=6
20240623GMG12,5.1,14.1,6.8,25.1,8.1,2.7,11.7,13.6,37.8,11.8,73.3,52.5,129.2,137.9,166.1,119.7,44.7,123.3,45.2,63.1
20240623TKN01,10.9,3.5,22.4,14.0,5.2,22.0,14.9,8.2,4.3,28.8,48.4,242.2,110.1,71.2,31.0,121.1,93.1,40.3,201.8,35.6
20240623TKN02,3.4,8.1,47.6,25.7,3.0,17.8,6.1,32.7,20.1,104.7,22.1,130.9,34.9,157.1,120.8,314.2,27.5,20.4,39.2,130.9
20240623TKN03,5.6,4.6,38.2,4.0,10.6,59.5,13.9,21.1,6.0,37.3,35.7,107.1,37.3,100.4,10.9,44.6,114.7,61.7,89.2,48.6
20240623TKN04,3.7,22.6,19.6,33.5,3.4,6.0,5.9,28.2,44.2,37.4,25.2,36.0,49.9,139.0,81.1,139.0,31.4,33.5,23.7,57.2
20240623TKN05,2.4,21.2,30.9,5.5,22.8,20.8,4.7,91.2,33.0,28.1,45.6,79.8,8.2,174.2,33.6,44.5,95.8,63.8,39.1,79.8
20240623TKN06,8.1,2.8,16.8,86.3,4.9,19.8,112.9,2.9,34.9,86.3,47.3,86.3,293.5,19.5,69.8,244.6,58.7,489.2,209.6,63.8
20240623TKN07,3.8,28.1,44.9,41.4,2.9,5.1,4.5,43.1,32.4,28.5,68.1,48.0,132.0,72.8,234.6,72.8,41.4,51.5,44.9,140.8
20240623TKN08,12.3,14.2,14.2,29.5,8.0,3.2,12.9,7.3,18.3,3.8,157.0,157.0,291.6,170.1,157.0,55.1,47.4,102.0,46.3,44.3
20240623TKN09,9.2,3.4,9.0,72.3,4.5,36.8,77.7,3.2,14.3,55.2,58.3,116.6,190.8,36.8,65.6,59.9,55.2,99.9,123.4,29.9
20240623TKN10,5.9,11.7,23.5,12.4,4.8,6.0,4.7,14.5,9.3,17.0,123.8,165.0,55.0,371.4,67.5,59.4,87.3,33.7,61.9,49.5
