レースコード,レース場,レース回,天気,風向,風速,波の高さ,スタンド距離,枠,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター2連対率,ボート2連対率,展示タイム,順位,結果,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240707TKN08,常滑,08R,晴,追い風,2.0,1.0,40.0,6,55,B2,4.07,18.18,3.7,22.22,26.47,0.0,6.82,6,0,0,-0.6168087451594899,-0.6976197620327167,-0.18753136671724646,-0.08310169316493901,-0.3371492491487978,-1.2546924138524242,-0.07194430788359281
20240707TKN09,常滑,09R,晴,右追い風,2.0,1.0,40.0,6,55,B2,1.59,3.57,1.5,0.0,34.9,28.57,6.82,6,0,0,-1.860158237529991,-1.792002022435548,-1.7880466754343407,-1.480197511920201,0.45431692559639697,-0.20288047910084653,0.408248290463858
20240707TKN10,常滑,10R,晴,右追い風,3.0,1.0,40.0,6,55,A2,6.0,41.82,5.97,44.44,26.92,42.86,6.84,5,0,0,-0.49943973175181877,-0.4260094435934418,-0.6437042652895619,-0.1311068878818176,-0.8923372010933154,0.9809556981135019,0.8068715304598714
20240707TKN11,常滑,11R,晴,右横風,2.0,1.0,40.0,6,51,A2,5.29,28.95,5.79,37.5,32.62,33.33,6.78,6,0,0,-0.7644772670913762,-0.9594274679492957,-1.0323109612999606,-1.3789709677371642,-0.23254407709204294,0.8435170076995084,0.5811838444559406
20240707TKN12,常滑,12R,晴,右追い風,3.0,1.0,40.0,6,54,A1,6.48,42.98,4.86,14.29,39.44,0.0,6.78,5,0,0,0.8491477168018096,0.7390327416965513,-0.2684034066913719,-0.8530860592100218,0.8606290957725469,-1.1633339970702932,-0.8579100957326764
20240707GMG01,蒲郡,01R,晴,右追い風,3.0,1.0,41.3,6,54,B1,4.56,24.36,0.0,0.0,38.43,30.3,6.73,5,0,0,-1.045757140820227,-0.45356479866379185,-1.2533482429010372,-1.213395930340602,0.9792724434961882,-0.696480177244968,-0.9486832980505203
20240707GMG02,蒲郡,02R,晴,右横風,4.0,2.0,41.3,6,56,B1,5.74,31.88,5.15,36.76,38.57,35.89,6.76,2,0,1,0.387581065592226,-0.1812861580822979,-0.5671869453080133,-0.3969361699545098,0.24114439774024918,-0.17264081831803904,1.7902871850986077
20240707GMG03,蒲郡,03R,晴,右追い風,4.0,2.0,41.3,6,55,B1,4.89,36.51,5.37,40.74,29.68,36.53,6.76,5,0,0,-0.12133318680771153,0.5505191106642465,-0.0766586521028199,0.2999810958153957,-0.6547180298123615,0.019451757946355463,0.35453959443529287
20240707GMG04,蒲郡,04R,晴,右追い風,3.0,1.0,41.3,6,52,A2,6.33,46.61,6.55,49.3,32.02,29.82,6.65,6,0,0,1.1173712040874846,1.33280824996575,0.67252413664823,0.707584125569456,-0.6225112735287702,-0.8482375588356342,-1.237253854893685
20240707GMG05,蒲郡,05R,晴,右横風,5.0,3.0,41.3,6,52,A1,6.6,51.22,8.11,66.67,32.23,36.12,6.78,2,0,1,1.9007022744527093,1.8996902467046448,1.9444356301007797,1.906052588023516,-0.6325502283582812,0.09336892723754057,1.3252577488660982
20240707GMG06,蒲郡,06R,晴,右横風,4.0,2.0,41.3,6,53,B1,5.26,36.9,0.0,0.0,35.5,34.14,6.77,3,0,1,-0.029635936011125713,0.18460688947063658,-1.841100579871987,-1.2839098729754819,0.15890645196511943,-1.1065668495722794,0.4989827049481609
