レースコード,レース場,レース回,天気,風向,風速,波の高さ,スタンド距離,枠,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター2連対率,ボート2連対率,展示タイム,順位,結果,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240611FKO01,福岡,01R,晴,右横風,2.0,2.0,50.0,3,52,B1,3.94,20.31,2.83,8.33,39.24,40.63,6.95,2,0,1,-0.33693426492212786,-0.40147178735723565,-0.4932117322722166,-0.841080366354117,0.8441069361329374,0.9336477570323397,-0.2531848417709535
20240611FKO02,福岡,02R,晴,右横風,3.0,3.0,50.0,3,56,B1,3.96,14.47,0.0,0.0,44.71,38.36,6.96,2,0,1,-0.503684513299635,-0.6846105870705482,-1.9708093812305083,-1.5955959440554104,1.7003642870386055,0.6270331213235615,-0.4385290096535053
20240611FKO03,福岡,03R,曇り,右横風,3.0,3.0,50.0,3,52,A2,6.45,49.02,0.0,0.0,30.14,29.73,6.98,4,0,0,1.263276846038404,1.452211360188878,-1.5687998700064154,-1.1791592917101792,-0.38794581049452265,-0.21925224302060492,0.0
20240611FKO04,福岡,04R,曇り,右横風,3.0,3.0,50.0,3,54,B1,4.61,24.19,5.84,32.65,27.03,28.33,6.93,4,0,0,-0.6865849620011907,-0.6568099364242995,0.36568370018805063,-0.018963374324911332,0.42953555134713156,-0.2160012997566488,-1.4235831010710311
20240611FKO05,福岡,05R,曇り,右横風,2.0,2.0,50.0,3,52,A2,5.95,45.74,5.85,41.76,32.47,49.28,7.0,2,0,1,0.8297692192745982,1.155999748481362,0.7376075153091518,0.7464486904799599,0.2814445912375874,1.4400113609134821,0.7694837640638762
20240611FKO06,福岡,06R,曇り,右横風,3.0,3.0,50.0,3,59,B1,3.93,15.85,3.9,14.63,28.95,34.38,6.98,5,0,0,-1.5169421002833596,-1.3994951357501284,-1.2228851246542733,-1.4652790489025662,0.2063085014573376,-0.3945618996537559,0.30996520993903587
20240611FKO07,福岡,07R,曇り,右横風,2.0,2.0,50.0,3,56,B1,3.97,16.67,4.6,20.0,35.38,32.76,6.97,1,1,1,-0.5146192771463882,-0.684217118321241,0.4435682289465827,0.11814100513072104,0.33340877911947897,0.05030249638708857,-0.25478983306934766
20240611FKO08,福岡,08R,曇り,右横風,2.0,2.0,50.0,3,53,A2,6.26,48.76,5.94,41.18,40.63,40.0,6.98,2,0,1,1.462966711320246,1.5769626125409846,0.756509993989905,1.2275714319791267,1.8701159569310293,0.06403826534262536,0.061406343848676576
20240611FKO09,福岡,09R,晴,右横風,2.0,2.0,50.0,3,54,B1,4.35,21.98,3.73,12.2,23.81,42.19,6.95,4,0,0,-1.231439605331745,-0.8593618925079586,-0.2394773465835037,-0.7973190267465103,-1.2433596874020871,0.9861818479437439,-1.0645410483069222
20240611FKO10,福岡,10R,晴,右横風,2.0,2.0,50.0,3,56,A2,6.21,38.46,5.5,41.67,28.57,15.0,6.93,1,1,1,1.4372428988530848,1.026848117848897,0.5070733611008797,1.0742995862634186,0.5856455332479407,-1.329070371866637,-0.6642111641550973
