レースコード,レース場,レース回,天気,風向,風速,波の高さ,スタンド距離,枠,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター2連対率,ボート2連対率,展示タイム,順位,結果,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240611FKO01,福岡,01R,晴,右横風,2.0,2.0,50.0,2,56,B2,4.7,23.81,5.07,34.43,28.57,43.66,6.93,3,0,1,0.1570915383077449,-0.1693432759447371,0.47590605745564757,0.4988299629546797,-0.7632614770506023,1.3893179912027531,-1.2659242088546327
20240611FKO02,福岡,02R,晴,右横風,3.0,3.0,50.0,2,52,A2,6.02,39.0,5.4,40.0,29.63,34.0,6.94,1,1,1,1.703953991800894,1.9697884172772728,0.6920022931593364,1.2238932811934373,-0.5479034418997699,-0.5539018285558036,-1.3155870289605158
20240611FKO03,福岡,03R,曇り,右横風,3.0,3.0,50.0,2,54,B1,5.41,36.84,5.18,35.29,27.66,22.58,6.99,5,0,0,0.5912523345908642,0.6891974396870217,0.7322053192243253,1.0832110274880207,-0.9224489271758659,-1.2844754848760918,0.3042903097250847
20240611FKO04,福岡,04R,曇り,右横風,3.0,3.0,50.0,2,56,A2,5.5,30.97,5.29,28.57,21.57,21.31,7.01,2,0,1,0.16605775825145033,-0.20707036036403198,-0.1878741945920259,-0.32040714281440963,-0.6819640270203278,-1.2092299837904965,1.3096964529853317
20240611FKO05,福岡,05R,曇り,右横風,2.0,2.0,50.0,2,53,B1,4.34,23.08,3.78,16.67,29.27,36.51,6.96,3,0,1,-0.27127070630131156,-0.3643110060507138,-0.3452630922723694,-0.43131449854480863,-0.15363883483018118,0.3485713522757236,-0.2564945880212845
20240611FKO06,福岡,06R,曇り,右横風,3.0,3.0,50.0,2,51,A2,6.85,53.66,6.12,41.18,20.41,51.67,6.97,1,1,1,1.368706715890849,1.4875601201948938,1.2082835112255659,1.2425974301018277,-1.350576272426899,1.6895445906762152,0.04428074427698827
20240611FKO07,福岡,07R,曇り,右横風,2.0,2.0,50.0,2,51,A1,6.2,42.27,6.26,54.84,29.76,31.94,6.97,2,0,1,1.5975297805894009,1.6796099031394567,1.138212813900665,1.717635546097426,-0.5667148423303889,-0.1461167752196433,-0.25478983306934766
20240611FKO08,福岡,08R,曇り,右横風,2.0,2.0,50.0,2,55,B1,4.71,21.51,5.06,31.36,26.15,40.68,7.0,3,0,1,-0.46690426957029135,-0.6609801628296514,-0.7174282968834154,-0.5249972322372576,-0.7964797157781089,0.17335881873087275,0.7982824700322719
20240611FKO09,福岡,09R,晴,右横風,2.0,2.0,50.0,2,54,B1,4.64,17.82,5.09,29.49,36.62,30.61,6.95,2,0,1,-0.8145709451610762,-1.237930068240374,0.36179500668461545,0.09524464903511237,0.49165530122762185,-0.3164781291500075,-1.0645410483069222
20240611FKO10,福岡,10R,晴,右横風,2.0,2.0,50.0,2,53,B1,5.38,35.44,0.0,0.0,10.91,34.33,6.96,5,0,0,-0.005795334269568249,0.5429342584100924,-2.0168211964148126,-1.7346983488712802,-1.5825934850243095,1.0548699579986975,0.664211164155058
20240611FKO11,福岡,11R,晴,右横風,2.0,2.0,50.0,2,54,A2,6.01,40.6,5.8,32.5,27.27,33.33,6.9,2,0,1,0.3641081652527034,-0.009786858328948938,0.42161347354511214,0.0732049193377094,-0.036477823341935126,-0.1863408906824873,-0.9054490911587271
20240611FKO12,福岡,12R,曇り,右横風,2.0,2.0,50.0,2,53,A1,6.61,44.7,6.83,56.1,36.51,21.05,6.99,2,0,1,0.10213724584562976,-0.5609171854600438,1.2135597524338375,0.9529402453296167,0.8868120437927371,-1.317690955819494,0.8856148855400873
20240611TKY01,徳山,01R,曇り,追い風,1.0,1.0,45.0,2,55,B1,4.03,17.57,4.78,44.44,0.0,34.88,7.02,3,0,1,-1.1599710010874549,-0.9339291747822017,0.2746560601114828,0.880322506467088,-0.8968652080586162,0.1633814264121615,-0.7256901692684294
20240611TKY02,徳山,02R,曇り,追い風,1.0,1.0,45.0,2,53,A2,5.34,33.33,5.28,33.33,22.22,36.78,7.06,6,0,0,-0.5106000104570875,-0.30541159719784344,-0.5566460824821768,-0.7313212184527016,-0.5948326937029961,0.08660526540946839,-0.27761716615534976
20240611TKY03,徳山,03R,曇り,追い風,1.0,1.0,45.0,2,47,B1,4.63,25.0,2.29,0.0,0.0,35.63,7.0,6,0,0,-0.4937624669592467,-0.6163874252909056,-0.6241230106564365,-1.129708934039899,-0.7364383964750159,0.41789097636105327,-1.1809742331947854
20240611TKY04,徳山,04R,曇り,追い風,2.0,2.0,45.0,2,46,A2,6.32,47.12,6.34,44.74,44.44,27.38,7.01,2,0,1,1.1952059596765874,1.270318238606131,0.7834108865703913,0.6159558976413231,1.0627605102501503,-0.5443892954715811,-1.4391241890026583
20240611TKY05,徳山,05R,曇り,右横風,2.0,2.0,45.0,2,58,A1,6.28,46.08,6.2,40.0,0.0,44.19,7.06,1,1,1,1.028464573488914,1.1809570402670555,0.6921168274684952,0.41733070321807464,-0.8007237488382978,1.6088600661013777,-0.96583426160782
20240611TKY06,徳山,06R,曇り,右追い風,1.0,1.0,45.0,2,55,A1,7.13,56.48,6.74,48.15,0.0,37.93,7.05,1,1,1,1.298120513589651,1.2465732299204504,1.3776379979338071,1.541203567629055,-0.6396021490668312,0.36114436886407375,-0.6454972243679046
20240611TKY07,徳山,07R,曇り,追い風,1.0,1.0,45.0,2,51,B1,4.15,16.18,4.42,28.07,33.33,25.93,7.09,5,0,0,-0.869962224580554,-1.2001827338738498,0.3758699811238098,0.2522390144837551,0.4350714721995016,-1.128262444100792,0.17175134664318636
20240611TKY08,徳山,08R,晴,右追い風,2.0,2.0,45.0,2,52,A1,7.33,60.0,6.44,44.44,44.44,32.56,7.05,2,0,1,1.4805965318087972,1.5869334976180756,1.018840212802062,0.9189266455550466,0.3964979796228641,-0.35140189801750377,-0.35578403348241927
20240611TKY09,徳山,09R,晴,右追い風,2.0,2.0,45.0,2,51,B1,4.57,21.51,4.68,29.03,45.45,39.08,7.12,1,1,1,-0.8835011983960838,-1.0432179994928554,0.038679502273218286,-0.09048265750451222,1.2829699964935488,1.4652721913636684,0.9625669263585135
20240611TKY10,徳山,10R,晴,右追い風,2.0,2.0,45.0,2,54,A1,6.37,49.51,6.45,45.92,44.44,43.53,7.12,2,0,1,1.2962603362955034,1.3289139034300963,1.5982766712250271,1.1445237100109558,1.4883959276284005,1.16785369853179,0.35229742431262207
20240611TKY11,徳山,11R,晴,右追い風,3.0,3.0,45.0,2,56,B1,5.01,31.82,5.56,34.15,0.0,31.82,7.09,2,0,1,-0.3050486942496441,-0.25727713234010946,0.567421004900234,0.5007684271740972,-0.5976143046671969,-1.6194926317353158,0.5796736197002013
20240611TKY12,徳山,12R,晴,右追い風,2.0,2.0,45.0,2,56,A1,6.2,38.94,0.0,0.0,0.0,34.48,7.12,3,0,1,-0.2039833768770175,-0.7746959286003667,-1.8406538604964993,-1.5577230761538994,-0.8770327129982413,-0.47125645127980076,1.0236964359734857
20240611MYJ01,宮島,01R,曇り,左横風,3.0,3.0,40.0,2,53,A1,6.77,52.67,6.26,45.28,33.52,33.51,6.78,2,0,1,-0.13968878481533048,1.124727527439555,-0.6261280211522428,-0.24813154235345172,0.47345157033188257,-0.23741341239923078,-0.26631182064562736
20240611MYJ02,宮島,02R,曇り,左向かい風,2.0,2.0,40.0,2,55,A1,7.55,56.78,6.89,38.89,39.57,40.61,6.72,2,0,1,0.7867902419405767,1.0025901435190305,-0.007202655907229351,-0.3393070510713517,0.5341603825212379,1.100920933442083,-1.234609899270012
20240611MYJ03,宮島,03R,曇り,右横風,3.0,3.0,40.0,2,57,A1,6.91,50.0,7.0,25.0,35.5,35.2,6.8,5,0,0,-0.4099552594019988,-0.3983943940591898,-0.4341663826548512,-1.5717352251382448,-0.35862577043861105,-0.3227700915631183,1.3622878626996977
