レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240611FKO01,19,0,1,2.0,2.0,50.0,2,0,0.7291214157318078,0.2639115409526772,0.3725921157707553,-0.476974948089273,-0.2531848417709535
20240611FKO02,19,1,1,3.0,3.0,50.0,2,1,0.2250505272189859,0.5391371785184376,0.4942312679993839,-1.4721058377509983,0.8770580193070495
20240611FKO03,19,2,1,3.0,3.0,50.0,3,0,-1.6832921656931166,-0.9335802907400144,1.933263288964374,-0.923938387632696,1.8257418583505352
20240611FKO04,19,3,1,3.0,3.0,50.0,0,1,1.861762943472995,1.1507294418761596,0.6697497459393662,0.1660097325640622,-0.3986032682998875
20240611FKO05,19,4,1,2.0,2.0,50.0,2,0,-0.5448209983698604,-0.8422326947856279,1.201917964512211,0.7007039157516491,-1.2824729401064452
20240611FKO06,19,5,1,3.0,3.0,50.0,2,0,-0.6967063066448005,-0.8943488225083489,-0.7672002447419393,0.7481407914005022,-0.7527726527090838
20240611FKO07,19,6,1,2.0,2.0,50.0,0,0,0.8019220637741262,0.8955056697600821,-0.9142714719649468,-0.3832571153302112,0.1819927379066852
20240611FKO08,19,7,1,2.0,2.0,50.0,3,0,-0.4793550500921655,-0.7006789981234902,-0.3508193892618025,0.6524400674028977,-0.6754697823349515
20240611FKO09,19,8,1,2.0,2.0,50.0,2,0,0.2922872214989755,0.4015850888861821,-0.7219070951909721,-1.2197907039395437,1.157109835116235
20240611FKO10,19,9,1,2.0,2.0,50.0,2,1,-0.5969194297655945,0.4887177643189474,-0.5831899964209053,-0.7494263185625981,-0.2214037213850193
20240611FKO11,19,10,1,2.0,2.0,50.0,1,0,0.3871044704265578,0.2524040527243315,0.4206248125180678,-0.0948768637540868,-1.3078709094515046
20240611FKO12,19,11,1,2.0,2.0,50.0,1,1,0.6093015010790955,-1.1798497593106732,-1.4627777376219206,1.4106555155335716,-0.4428074427700584
20240611TKY01,13,0,8,1.0,1.0,45.0,2,1,-0.3499912503281114,0.2277063062462718,1.2272892320802118,0.967524384534513,0.4934693151025283
20240611TKY02,13,1,8,1.0,1.0,45.0,1,1,0.3951600080928771,-0.1583762912501596,0.5751746052713833,-0.0513333027699758,1.388085830776712
