レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240611FKO01,19,0,1,2.0,2.0,50.0,2,0,-0.3174332463735801,0.2725643783609615,0.2626222055904386,-0.2498917620835553,0.2531848417708636
20240611FKO02,19,1,1,3.0,3.0,50.0,2,0,-0.5358345886166329,-0.0476676163933984,-0.6492842148227205,-0.4509763054011794,0.8770580193070495
20240611FKO03,19,2,1,3.0,3.0,50.0,2,1,0.0096926612228008,0.4834480014696507,0.0431050900549476,0.2515317351980436,-0.9128709291752812
20240611FKO04,19,3,1,3.0,3.0,50.0,1,0,-0.0063868368558251,0.6173009250880854,-1.479963724309786,0.1447868974351335,0.9680365087282938
20240611FKO05,19,4,1,2.0,2.0,50.0,3,0,-1.5022470206097818,-1.333971038325063,-0.6172746107336472,-0.4283424831602371,1.0259783520851606
20240611FKO06,19,5,1,3.0,3.0,50.0,1,0,0.1927059997102642,0.5293084867906557,0.4998195653863329,-0.7501497623763367,0.0442807442769882
20240611FKO07,19,6,1,2.0,2.0,50.0,2,0,-1.0923820238812905,-0.5858448306841656,-0.6227723632391887,-1.5689588158830483,0.400384023394692
20240611FKO08,19,7,1,2.0,2.0,50.0,2,0,-0.9773862709671436,-1.2031579609212135,0.3673935336363765,-0.1835406349778172,1.5351585962158671
20240611FKO09,19,8,1,2.0,2.0,50.0,1,1,0.4791593795065164,0.9586462397081164,-0.3006817544697859,1.1391712753053589,-0.2314219670232321
20240611FKO10,19,9,1,2.0,2.0,50.0,1,0,0.2028366994349119,0.4107064779957352,-0.2737923562144461,-0.5508673981754699,1.107018606925097
20240611FKO11,19,10,1,2.0,2.0,50.0,1,0,1.3759455929023228,-2.0319231283562105,0.519405466877645,-0.6777893935813539,0.3018163637195697
20240611FKO12,19,11,1,2.0,2.0,50.0,0,0,-0.1091811938349826,0.9101698143253788,1.3538112550055887,-0.2653796616758069,0.8856148855400873
20240611TKY01,13,0,8,1.0,1.0,45.0,2,0,0.8349791257827799,-1.9695421746455903,-0.8968652080586162,0.6937328535547597,1.1901318776002163
20240611TKY02,13,1,8,1.0,1.0,45.0,2,0,-0.2442000050012152,-0.7173514368389562,0.8679397079850445,0.695046620940712,-1.5268944138543867
