レースコード,レース場,レース回,天気,風向,風速,波の高さ,スタンド距離,枠,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター2連対率,ボート2連対率,展示タイム,順位,結果,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240611FKO01,福岡,01R,晴,右横風,2.0,2.0,50.0,5,54,B1,5.58,34.31,4.58,31.58,36.11,31.25,6.95,5,0,0,0.7291214157318078,0.5270422582927587,0.2639115409526772,0.3525179155014202,0.3725921157707553,-0.47697494808927304,-0.2531848417709535
20240611FKO02,福岡,02R,晴,右横風,3.0,3.0,50.0,5,54,B1,4.64,17.82,5.09,29.49,36.62,30.61,6.99,3,0,1,0.22505052721898597,-0.3221060349072706,0.5391371785184376,0.48307248725930246,0.4942312679993839,-1.4721058377509983,0.8770580193070495
20240611FKO03,福岡,03R,曇り,右横風,3.0,3.0,50.0,5,57,B2,1.89,3.03,1.43,0.0,40.91,25.0,7.04,6,0,0,-1.6832921656931166,-1.428823960326752,-0.9335802907400143,-1.1791592917101792,1.933263288964374,-0.9239383876326961,1.8257418583505352
20240611FKO04,福岡,04R,曇り,右横風,3.0,3.0,50.0,5,50,A1,7.27,61.9,6.62,50.0,28.21,31.03,6.96,3,0,1,1.861762943472995,1.8446177056454192,1.1507294418761596,1.2629114745213628,0.6697497459393662,0.1660097325640622,-0.3986032682998875
20240611FKO05,福岡,05R,曇り,右横風,2.0,2.0,50.0,5,52,B1,3.94,20.31,2.83,8.33,39.24,40.63,6.92,6,0,0,-0.5448209983698604,-0.5501565837229931,-0.8422326947856279,-0.8228069256658359,1.201917964512211,0.7007039157516491,-1.2824729401064452
20240611FKO06,福岡,06R,曇り,右横風,3.0,3.0,50.0,5,55,B1,4.76,24.36,4.2,20.0,23.61,43.86,6.94,6,0,0,-0.6967063066448005,-0.7496977216244438,-0.8943488225083489,-0.9175842582338809,-0.7672002447419393,0.7481407914005022,-0.7527726527090838
20240611FKO07,福岡,07R,曇り,右横風,2.0,2.0,50.0,5,55,A1,5.36,29.63,5.68,28.0,27.59,30.95,6.99,4,0,0,0.8019220637741262,0.5124703112932368,0.8955056697600821,0.4854187412884029,-0.9142714719649467,-0.38325711533021123,0.18199273790668521
20240611FKO08,福岡,08R,曇り,右横風,2.0,2.0,50.0,5,56,B2,4.7,23.81,5.07,34.43,28.57,43.66,6.96,4,0,0,-0.47935505009216556,-0.47208957995433193,-0.7006789981234902,0.022903561972956277,-0.3508193892618025,0.6524400674028977,-0.6754697823349515
20240611FKO09,福岡,09R,晴,右横風,2.0,2.0,50.0,5,54,B1,5.41,36.84,5.18,35.29,27.66,22.58,7.03,5,0,0,0.2922872214989755,0.49292731215158286,0.4015850888861821,0.39465872188262036,-0.7219070951909721,-1.2197907039395435,1.157109835116235
20240611FKO10,福岡,10R,晴,右横風,2.0,2.0,50.0,5,59,B1,5.04,30.0,5.46,32.29,19.05,19.7,6.94,2,0,1,-0.5969194297655945,-0.3287516340889452,0.4887177643189474,0.441988555988317,-0.5831899964209053,-0.7494263185625981,-0.22140372138501932
20240611FKO11,福岡,11R,晴,右横風,2.0,2.0,50.0,5,52,A2,6.02,39.0,5.4,40.0,29.63,34.0,6.88,4,0,0,0.3871044704265578,-0.25069414027231607,0.2524040527243315,0.5250871374717181,0.4206248125180678,-0.09487686375408684,-1.3078709094515046
20240611FKO12,福岡,12R,曇り,右横風,2.0,2.0,50.0,5,51,A2,6.85,53.66,6.12,41.18,20.41,51.67,6.95,3,0,1,0.6093015010790955,0.5352263220038592,-1.1798497593106732,-1.1513323437652843,-1.4627777376219206,1.4106555155335716,-0.4428074427700584
20240611TKY01,徳山,01R,曇り,追い風,1.0,1.0,45.0,5,51,B1,4.57,21.51,4.68,29.03,45.45,39.08,7.09,2,0,1,-0.34999125032811146,-0.5456406469620952,0.2277063062462718,-0.06119997991749209,1.2272892320802118,0.967524384534513,0.4934693151025283
20240611TKY02,徳山,02R,曇り,追い風,1.0,1.0,45.0,5,54,A2,6.02,38.04,5.85,36.0,44.44,36.05,7.14,3,0,1,0.39516000809287716,0.13337496796794457,-0.15837629125015962,-0.5190790822278414,0.5751746052713833,-0.051333302769975844,1.3880858307767119
20240611TKY03,徳山,03R,曇り,追い風,1.0,1.0,45.0,5,52,B1,4.87,28.57,4.77,33.33,0.0,32.56,7.1,4,0,0,-0.23426686388577395,-0.26636041973069347,0.46845938917506597,0.6372173339821485,-0.7364383964750159,-0.13154169919716224,0.5904871165973927
20240611TKY04,徳山,04R,曇り,追い風,2.0,2.0,45.0,5,53,B1,5.06,29.36,5.57,35.35,36.36,43.68,7.07,5,0,0,-0.2692603377553422,-0.41878971629615597,-0.19744502019253818,-0.3114346761991942,0.6422019473824065,1.4609317251356004,0.5535093034625518
