レースコード,レース場,レース回,天気,風向,風速,波の高さ,スタンド距離,枠,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター2連対率,ボート2連対率,展示タイム,順位,結果,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240611FKO01,福岡,01R,晴,右横風,2.0,2.0,50.0,1,52,A1,6.51,52.55,6.74,53.94,39.71,32.86,6.95,1,1,1,1.3336529907367833,1.7367634149110365,1.1984179810474034,1.5004257685031326,0.9149094810435523,-0.23485314049377246,-0.2531848417709535
20240611FKO02,福岡,02R,晴,右横風,3.0,3.0,50.0,1,60,B1,3.32,16.13,4.53,20.34,33.77,38.24,6.95,5,0,0,-1.189552786728926,-0.5049814657000884,0.2629937456187502,-0.16188567301637136,0.06932655795466526,0.5945303245378916,-0.8770580193070106
20240611FKO03,福岡,03R,曇り,右横風,3.0,3.0,50.0,1,53,B1,3.86,17.44,5.4,33.33,29.76,39.13,6.96,1,1,1,-0.4103226584319114,-0.5261120888627332,0.8299314083422334,0.9575594030723653,-0.46984548159892175,1.1811811099082867,-0.6085806194501964
20240611FKO04,福岡,04R,曇り,右横風,3.0,3.0,50.0,1,53,B1,4.91,25.51,5.29,28.57,31.25,25.4,6.97,1,1,1,-0.39917730348906455,-0.5692500189612385,-0.1878741945920259,-0.32040714281440963,1.2886066540413947,-0.630554012608383,-0.05694332404284974
20240611FKO05,福岡,05R,曇り,右横風,2.0,2.0,50.0,1,59,B1,5.04,30.0,5.46,32.29,19.05,19.7,6.93,1,1,1,0.20744230481864925,0.09996747679844617,0.5335884153300248,0.3019123253916953,-1.5431865268341172,-1.0881636943335726,-1.0259783520851606
20240611FKO06,福岡,06R,曇り,右横風,3.0,3.0,50.0,1,54,B1,5.58,34.31,4.58,31.58,36.11,31.25,6.92,3,0,1,0.11364712803425844,0.010053661518983452,-0.47820283979017836,0.26347825125278107,1.5116123634024354,-0.7718466489153415,-1.2841415840331554
20240611FKO07,福岡,07R,曇り,右横風,2.0,2.0,50.0,1,56,B1,3.96,14.47,0.0,0.0,44.71,38.36,6.91,3,0,1,-0.5240907975846655,-0.8873585029780198,-1.4813505004442478,-0.8000533352634837,1.8277421222026222,1.3917024000428242,-1.5651375459974075
20240611FKO08,福岡,08R,曇り,右横風,2.0,2.0,50.0,1,53,A1,5.93,40.63,6.25,40.0,28.0,46.48,6.95,1,1,1,1.0520909540983896,0.9092754652469199,1.275738255547551,1.0169776413706406,-0.45578897030076726,1.1057988329247475,-1.0439078454267492
20240611FKO09,福岡,09R,晴,右横風,2.0,2.0,50.0,1,53,A2,6.29,48.36,5.19,33.33,44.83,36.99,6.99,1,1,1,1.5572679833961767,1.541269952641348,0.40600620913080093,0.2934774145065659,1.6036360238388563,0.4012222727375692,0.0462843934046563
20240611FKO10,福岡,10R,晴,右横風,2.0,2.0,50.0,1,55,A2,5.66,36.29,5.5,34.09,30.56,31.43,6.96,3,0,1,0.4810127443742187,0.6791351791130673,0.5070733611008797,0.563327559665842,0.8299714475379618,0.6972172442579078,0.664211164155058
20240611FKO11,福岡,11R,晴,右横風,2.0,2.0,50.0,1,55,A1,5.36,29.63,5.68,28.0,27.59,30.95,6.96,1,1,1,-1.1306516710478682,-1.6615074101531586,0.37085064729887784,-0.19792441154269583,0.02550219507976026,-0.5112429564878492,0.30181636371956977
20240611FKO12,福岡,12R,曇り,右横風,2.0,2.0,50.0,1,50,A1,7.27,61.9,6.62,50.0,28.21,31.03,6.91,4,0,0,1.496838947737663,1.5432868690465567,0.5056498968474331,0.09261432083371207,-0.3244671602905956,-0.42843890539155177,-1.771229771080204
20240611TKY01,徳山,01R,曇り,追い風,1.0,1.0,45.0,1,56,A2,5.69,39.16,5.29,34.21,0.0,37.21,6.97,1,1,1,1.3299667512468232,1.193773697206655,0.5140998048240575,0.2552884353629833,-0.8968652080586162,0.6094893055609899,-1.5965183723905354
20240611TKY02,徳山,02R,曇り,追い風,1.0,1.0,45.0,1,54,A1,6.37,49.51,6.45,45.92,44.44,43.53,7.07,1,1,1,0.861360017640654,1.201927388870617,0.26085506794143826,0.2694759707124628,0.5751746052713833,1.3620646287125417,-0.0694042915388282
20240611TKY03,徳山,03R,曇り,追い風,1.0,1.0,45.0,1,56,A2,6.48,47.29,6.1,41.94,11.11,30.68,7.09,1,1,1,1.5065161400654379,1.5690753069043684,1.054400756826638,1.0936600332821733,-0.2762248077525582,-0.4680020998647344,0.41334098161817806
20240611TKY04,徳山,04R,曇り,追い風,2.0,2.0,45.0,1,53,A2,6.2,44.54,6.76,53.52,33.33,31.4,7.07,1,1,1,1.0557329789687846,1.0249410694818124,1.3184231993501712,1.4831006514559921,0.48449248630700265,-0.04982546094146648,0.5535093034625518
20240611TKY05,徳山,05R,曇り,右横風,2.0,2.0,45.0,1,52,A2,5.01,26.4,5.22,38.89,0.0,36.05,7.11,2,0,1,0.030133356930248253,-0.27891950197262094,0.17435004050733083,0.34983622814686594,-0.8007237488382978,0.3280658423297187,0.96583426160782
20240611TKY06,徳山,06R,曇り,右追い風,1.0,1.0,45.0,1,52,B1,4.72,27.62,4.26,20.37,0.0,27.59,7.04,5,0,0,-0.47438398371973034,-0.428681876738651,-1.0511834960537576,-1.1743124012124977,-0.6396021490668312,-1.1926279365677648,-0.8391463916782725
20240611TKY07,徳山,07R,曇り,追い風,1.0,1.0,45.0,1,53,B1,3.72,17.39,0.0,0.0,40.0,40.91,7.05,1,1,1,-1.3327462533264989,-1.0924112230770142,-1.277209935858519,-1.256894016399158,0.7549605098152294,1.1696806439522152,-0.858756733215909
20240611TKY08,徳山,08R,晴,右追い風,2.0,2.0,45.0,1,47,B1,5.54,34.43,5.05,36.9,50.0,40.0,6.97,1,1,1,0.05827034651125918,-0.10887577454578277,-0.12632520158731758,0.2474318717719696,0.6611472913519307,1.3335154733575054,-1.7789201674120647
20240611TKY09,徳山,09R,晴,右追い風,2.0,2.0,45.0,1,51,B1,5.24,28.74,5.67,36.73,30.0,31.82,7.06,2,0,1,-0.19784968921611146,-0.4084193346310231,0.35778539602726894,0.23893410976959853,0.48892994658733974,-0.011526898312439414,-0.3702180485994495
20240611TKY10,徳山,10R,晴,右追い風,2.0,2.0,45.0,1,55,B1,4.03,17.57,4.78,44.44,0.0,34.88,7.09,4,0,0,-1.1015651079191042,-1.166902055540344,-0.7260676314853893,0.9196206220512896,-0.8463839884960654,0.370647241162332,-0.5536102382055528
20240611TKY11,徳山,11R,晴,右追い風,3.0,3.0,45.0,1,55,B1,5.36,38.1,0.0,0.0,0.0,37.65,7.08,1,1,1,0.008972020419106969,0.24242401954521647,-1.6209217376976626,-1.2113532268885179,-0.5976143046671969,0.9231398753607957,0.23186944788008668
