レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240101OMR01,8,0,0,3.0,2.0,48.0,3,0,-1.7023695461069228,-1.8035644746479984,-0.0700455563431403,-1.1333272821735572,-0.990366277239007,1.3459658158458818,0.4349491211179145
20240101OMR02,8,1,1,3.0,2.0,48.0,2,1,0.4550185883299463,-0.4217596847765417,0.4983680698351284,0.5409779573975666,-1.0176908342046669,-0.5223371519348091,0.1253924656439002
20240101OMR03,8,2,0,1.0,1.0,48.0,2,0,-0.3691203942242039,-0.0909197420846355,-0.1558474065841936,0.119232896954879,0.4574792100538843,-1.6996176339559066,1.144344270542636
20240101OMR04,8,3,7,0.0,1.0,48.0,2,0,-0.9019354659010324,-0.8086357094111587,-1.447405874308869,-1.478720569806808,1.6377149399987874,0.4788549318497707,0.5811838444559265
20240101OMR05,8,4,8,1.0,1.0,48.0,1,1,0.8711614845258672,0.7448083345465558,0.6528414589480469,0.5965589722658469,0.849413808612581,0.9033104206514184,1.0828114425674562
20240101OMR06,8,5,8,2.0,1.0,48.0,2,0,-0.37630797941465,0.1679230896631216,0.7251643136555775,0.9699567925072984,0.632285456936285,-1.6404358247420128,1.3389238540091646
20240101OMR07,8,6,2,1.0,1.0,48.0,2,0,-0.5582016294754003,-0.4499878060763189,-0.0630327357588317,0.1505394067997602,-0.8716373356145468,-1.647030403377497,-0.694210134500625
20240101OMR08,8,7,8,2.0,1.0,48.0,2,1,-0.1999467434439222,-0.1116624289325855,0.0608096497084959,-0.2076434309209132,1.286248050196096,-0.6503379947555898,-1.4150702187455722
20240101OMR09,8,8,7,0.0,1.0,48.0,2,1,1.1024869887732325,1.403879302734112,0.744121409321416,0.2175494376308863,-0.7052311279633848,-1.4352326738507073,0.8777472595071589
20240101OMR10,8,9,8,1.0,1.0,48.0,2,1,-0.0804948063446203,-0.1976736601633315,-0.3780659992915124,-0.8721027999775025,0.8673964899357914,0.1343560763113093,-1.5203028496707525
20240101OMR11,8,10,2,1.0,1.0,48.0,2,1,-1.44107797659148,-1.206703248001945,-1.6024874212129592,-1.5338265849412778,0.2356306816697265,-0.2836249242728266,0.9991745768300934
20240101OMR12,8,11,8,1.0,1.0,48.0,0,0,-1.779712668465899,-1.752737194834473,-1.2530918806011349,-1.6222544015249858,-1.2495470383207503,0.3463332274407719,0.8555794590449228
20240101ASY01,20,0,8,3.0,3.0,50.0,3,0,-1.5151458035475704,-1.3175354690724177,-1.6991430875655884,-1.4740772889980651,-1.3797765109513007,0.0166185687446564,-0.2507849312877642
20240101ASY02,20,1,2,2.0,2.0,50.0,3,0,-1.6272055351371382,-1.3855560354602,-1.6621960746423066,-1.4347274818872322,-0.7850520114186925,0.4508416331728769,-0.6177539459159137
20240101ASY03,20,2,2,2.0,2.0,50.0,1,1,0.0948386731630572,0.1396724554092116,0.8337148213745912,0.8624407378889147,-0.1710467325309692,-1.3368765597167158,-0.4420122177473808
20240101ASY04,20,3,2,3.0,3.0,50.0,1,1,0.9498565027545326,1.016826158351062,0.7284224956970807,0.7441703069982482,-0.1025139021881724,-0.4240856553491142,-0.3157230126766834
20240101ASY05,20,4,2,3.0,3.0,50.0,0,1,1.4640585186054789,1.752726508485163,0.7733304634274174,1.190059663040249,-0.7557497930445022,0.0479045351551287,-1.3669418497887975
20240101ASY06,20,5,1,2.0,2.0,50.0,0,1,1.5038247919704066,1.6676460642980997,1.347450185646092,1.755371539201309,1.7307920720326369,-0.2016407268625269,-1.506203727753831
20240101ASY07,20,6,2,3.0,3.0,50.0,2,1,0.3852427698074662,0.4348257620736135,0.8465680612734048,0.906952075846031,-0.0289375469096186,-1.294855653140097,-1.24524411718844
20240101ASY08,20,7,2,3.0,3.0,50.0,0,1,0.7086180022463996,0.594897586332659,0.8571896885839609,1.0739050816227864,0.6017555599839713,-0.1932784973137378,-1.379317122082701
20240101ASY09,20,8,2,3.0,3.0,50.0,2,0,-0.7300361459767906,-0.955983268524432,-1.461550709197463,-1.5672809079263987,0.5983161311923607,-0.8012420673655201,-0.1403033833165755
20240101ASY10,20,9,2,2.0,2.0,50.0,2,0,-0.0736508539278142,0.2906703889214975,0.0721479226530682,0.1639119754348275,-1.3409936200250334,-1.7762080369900193,-0.0719443078836304
20240101ASY11,20,10,1,2.0,2.0,50.0,2,0,-1.2103725217591832,-1.2699937548826623,-1.0665210875144857,-1.234053858059316,-1.2358834314217588,1.0078114208180915,0.6030226891555148
20240101ASY12,20,11,1,1.0,1.0,50.0,0,0,0.9706101704648924,1.1062757493695583,0.4465017857406189,0.4593245874292139,-0.5203922028076147,0.1706149279933178,1.3837732586563931
20240101WKM01,21,0,6,1.0,1.0,41.0,2,0,1.0089187832216473,0.90798254058729,0.9850483161096504,1.0199508533644928,0.4015868627402869,0.2512532677309547,0.7975031508064238
20240101WKM02,21,1,5,2.0,2.0,41.0,2,0,-0.2186349634298159,0.2114125213922284,0.0257649123736426,-0.0534628168186779,-0.7374421773795261,0.8112576788534742,1.7787811838447296
20240101WKM03,21,2,5,1.0,1.0,41.0,2,1,-0.0623860347312211,-0.1007380034051628,-0.220676965165345,-0.5109046935417053,-0.2422678023093938,-0.6679255297504127,1.2739491653467494
20240101WKM04,21,3,5,1.0,1.0,41.0,0,1,1.3312468040048924,1.141208451499843,1.2196224350884646,1.278777203708435,-0.5394166792797007,1.2633841415263714,1.121707896747368
20240101WKM05,21,4,5,1.0,1.0,41.0,3,0,-1.0457071252694692,-1.0296693892329298,-1.2840442417826683,-1.278344591198229,0.4230042645682684,0.9293748806062372,1.7554945190143232
20240101WKM06,21,5,5,3.0,3.0,41.0,0,1,1.4910682865685565,1.5882982517544642,1.315220481651947,1.3184072713958574,-0.1567965816658732,1.7183637711498942,-1.048932989597863
20240101WKM07,21,6,5,2.0,2.0,41.0,0,1,1.3033994544805505,0.6951424149809101,1.605397807128674,1.4608561107716835,-0.0915710103330655,0.549763524806139,1.0918855763870556
20240101WKM08,21,7,5,3.0,3.0,41.0,3,0,-1.3706652488740008,-1.3969185642505937,-1.6974988084303817,-1.4099769162644389,1.197146215130107,-0.7382733222164057,-0.5206576008754921
20240101WKM09,21,8,5,1.0,1.0,41.0,1,1,0.6346536149377292,0.5258346281882877,0.3182227023578831,-0.0720753376127892,0.4164616336030622,0.6669319866759175,0.1878627768688417
20240101WKM10,21,9,7,0.0,1.0,41.0,1,1,0.5123630125544142,0.6298687380265975,0.4915855298236126,0.4807580025659393,-0.51668415867705,0.3304906556246766,-1.5962987053932232
20240101WKM11,21,10,5,2.0,2.0,41.0,0,1,0.8481935603687432,-0.1459918829656714,1.3388393166937456,1.2229808130937,-0.8690699804606691,0.4559685842306993,-0.051271939470607
