レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240101OMR01,8,0,0,3.0,2.0,48.0,2,1,0.8108654943298766,0.2900060523694301,1.263865473147974,1.3577902832738813,0.4685567879125369,0.5731538573387883,1.1466840465835353
20240101OMR02,8,1,1,3.0,2.0,48.0,2,1,0.7402541213128968,0.8316943316621525,1.0222590327345884,1.0571882492757263,1.6836921814638155,-0.7142161057067796,-1.7554945190143028
20240101OMR03,8,2,0,1.0,1.0,48.0,2,1,-0.7382407884484076,-0.5229927654444831,-0.09290903084827,-0.4865927514067666,-1.0788013796406977,0.381634573089404,-0.1040312973220754
20240101OMR04,8,3,7,0.0,1.0,48.0,2,1,-0.7467637728427908,-0.9542794891172568,-0.1278397403955436,-0.1935995605449874,-0.5568051614930227,-0.6349477809218982,1.6068023934957938
20240101OMR05,8,4,8,1.0,1.0,48.0,2,1,-0.8879145899975178,-0.958983113600535,-0.0531382582864686,-0.0806951450020414,0.5469396231066375,-1.8270323749551307,0.1968748077395184
20240101OMR06,8,5,8,2.0,1.0,48.0,2,1,-0.0175026967169608,-0.2554279657444547,-0.2250509938931106,-0.4102687019656807,1.433136642537118,0.3642047688441759,-1.673654817511439
20240101OMR07,8,6,2,1.0,1.0,48.0,0,1,0.9105548175163528,0.866867332116958,1.4875725639084334,1.3878394076630258,-0.9064417686303292,-0.0923459204164805,1.0413152017509295
20240101OMR08,8,7,8,2.0,1.0,48.0,0,1,1.9962424869643272,2.0081672331404024,1.7391559816630089,1.8058351572111384,0.6445365974782441,-0.1069477426982728,-0.6140870760594065
20240101OMR09,8,8,7,0.0,1.0,48.0,3,1,0.7378182155636244,0.1806478549953118,0.6594017042753348,0.3277127698780162,1.212539977841232,0.3761196351118652,-1.0031397251510243
20240101OMR10,8,9,8,1.0,1.0,48.0,1,1,-0.1089047379956622,0.4181177419481476,0.9460694623419172,0.941016057360047,1.5199673328695995,0.784863412451901,0.4343722427630611
20240101OMR11,8,10,2,1.0,1.0,48.0,1,1,0.800598875884157,0.4420361177149972,1.330636876542903,1.3043738897353252,-0.2926623116280047,-0.6390924163986739,-1.1808426817081643
20240101OMR12,8,11,8,1.0,1.0,48.0,0,1,0.3379201269239036,-0.3047298945396559,0.504977325018367,0.3027353670519545,-0.4939746086902742,-1.493787307381717,-0.3522974243126168
20240101ASY01,20,0,8,3.0,3.0,50.0,0,1,1.606458024364032,1.6149996626052625,1.4201376544677906,1.5951031266653606,0.4667987941660362,1.08171774737939,-1.7554945190143163
20240101ASY02,20,1,2,2.0,2.0,50.0,1,1,0.7893402595893872,0.9970400014389248,0.6337217063467938,0.665622346425678,1.2375819925230969,1.4836788291689258,0.970756200725051
20240101ASY03,20,2,2,2.0,2.0,50.0,1,1,0.978870590861552,1.0699678923549711,0.9080062411010406,0.7869485778084524,1.2002857739011064,1.0002758107144072,-0.8208798329594118
20240101ASY04,20,3,2,3.0,3.0,50.0,0,1,0.7529674797746018,0.6657528058187254,1.067191235322709,1.2259121254658136,1.287860696791875,-0.0375772099676426,-1.452325858312784
20240101ASY05,20,4,2,3.0,3.0,50.0,0,1,1.0570912031189912,0.5633992987728895,1.5293659963628483,1.190059663040249,-0.0332280074297248,1.0030012048105073,-0.9352760024870884
20240101ASY06,20,5,1,2.0,2.0,50.0,2,0,-0.4120870533840987,-0.5781824882699939,-0.1484575057356084,-0.1612656395039105,-0.6213954837933473,-0.7868760909221109,-0.6316338213161168
20240101ASY07,20,6,2,3.0,3.0,50.0,3,1,0.8619806974442059,1.0599651331595257,0.8752652836894522,0.9193914604466434,-0.032592815992938,-0.7410877778621309,0.1778920167412011
20240101ASY08,20,7,2,3.0,3.0,50.0,2,1,0.4477429674768369,0.3132412522287407,0.216039677610592,-0.0415917991758917,1.2173622709650158,0.9550045554667362,0.5015698625755003
20240101ASY09,20,8,2,3.0,3.0,50.0,1,1,0.8142088279962886,0.6445527385837347,0.5474171747175949,0.5413755190984869,-0.0517802354658735,-0.8669625376894188,-1.8239439831155069
20240101ASY10,20,9,2,2.0,2.0,50.0,1,1,-0.1057894083690425,-0.0335805542480733,0.0283727785714311,0.0091647962514277,-0.2655656369530639,0.3285192840807438,1.6547190813232329
20240101ASY11,20,10,1,2.0,2.0,50.0,1,1,-0.5722681797438814,-0.4403391086491077,-1.0008409032393997,-0.9389984629518152,0.5284209842598069,0.0779191497828768,0.7537783614444069
20240101ASY12,20,11,1,1.0,1.0,50.0,0,1,0.7422313068260938,0.9361804389907532,0.2135443323107318,0.2447851456444752,1.7673350151945324,0.1125332503785721,-0.6088602338088219
20240101WKM01,21,0,6,1.0,1.0,41.0,2,1,1.3222614009182387,1.4832502530819571,1.5208012132167696,1.4096223072710223,1.7186651124789551,1.7323912810049378,-0.965398550976176
20240101WKM02,21,1,5,2.0,2.0,41.0,2,0,-0.9768369467001866,-0.8829391039126356,-0.8796877224715113,-0.2551117390554704,-0.8665533015090289,0.0526511606143309,-0.5929270612815589
20240101WKM03,21,2,5,1.0,1.0,41.0,1,1,0.680899007637902,0.7277030973742216,0.6193622375788687,0.502019394523589,-0.4973229208605106,0.3842305166816825,0.6187753088827235
20240101WKM04,21,3,5,1.0,1.0,41.0,2,0,-0.8334762598987153,-0.9631602493450258,-0.9898874611659856,-0.5723049748138892,0.5766516180855665,-1.4118759243614298,1.121707896747368
20240101WKM05,21,4,5,1.0,1.0,41.0,0,1,0.968533167685006,0.3206373538739442,1.3054175774333403,1.2493141876438452,-0.5172188507675642,0.1136859084229287,-0.1253924656438659
20240101WKM06,21,5,5,3.0,3.0,41.0,2,1,-0.1123283520865737,-0.5342829790470927,-0.2297095073559452,-0.7862061710158784,0.7118752587967974,0.4299321587865111,1.129620142643821
20240101WKM07,21,6,5,2.0,2.0,41.0,1,1,-0.3807371540806727,-0.0485940787723622,-0.1873222127893636,-0.0336372196771407,-0.3994727222347035,0.0177343072518103,-0.3119673075391706
20240101WKM08,21,7,5,3.0,3.0,41.0,0,1,1.3350635540980529,1.3220305964524928,1.0805734265729556,1.2904940528288191,-0.258998691991616,-0.1865866962588243,-1.5619728026264452
