レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240101OMR01,8,0,0,3.0,2.0,48.0,2,1,0.2463955921996865,0.322405414189454,0.40504604320164,0.0883325171344699,0.1369833640144589,-0.9958886038725834,0.6721940962731214
20240101OMR02,8,1,1,3.0,2.0,48.0,2,0,1.0051156876542082,1.3627460333094217,0.0389559946771397,-0.2959084248897533,-0.1257247441254511,0.4218291285304441,1.253924656438835
20240101OMR03,8,2,0,1.0,1.0,48.0,2,0,0.3034989908065676,0.2634221538960496,0.4555539577076411,0.5476230287018532,-0.9432769563233347,-0.5471887259225529,-1.3524068651867869
20240101OMR04,8,3,7,0.0,1.0,48.0,1,1,0.8825390042687524,0.6772882516394015,1.0097172715987024,0.9804689400606592,-0.5151455637304717,-0.8012523117090231,-0.034187284968001
20240101OMR05,8,4,8,1.0,1.0,48.0,0,1,1.452733574470333,1.5399110103485316,1.5011557965927478,1.6380383059477828,-0.1118740138172665,-0.1268716895642452,0.4921870193488485
20240101OMR06,8,5,8,2.0,1.0,48.0,2,0,-1.0676644997345874,-1.287923880352016,-1.544099874766619,-1.395018626675283,-1.2724416871954254,0.2665282300065487,0.3347309635022967
20240101OMR07,8,6,2,1.0,1.0,48.0,2,1,0.5544926485486548,0.009256078289544,-0.5925077161330203,-0.9595337148406444,1.471250550026795,0.6277184716917794,-0.1735525336251523
20240101OMR08,8,7,8,2.0,1.0,48.0,1,0,-0.3063700101156879,-0.6438781857101431,0.4694504957495949,0.4727201512454845,-1.5094344862671474,1.5121784961554412,0.507289323701234
20240101OMR09,8,8,7,0.0,1.0,48.0,2,1,-0.0593646840108662,0.0651155408974152,0.9135608194135793,1.271044161137052,-1.2989979622199952,0.3043829100044381,-1.0031397251510243
20240101OMR10,8,9,8,1.0,1.0,48.0,2,0,-0.9327927558758944,-1.2451130547516676,0.1211981911604365,-0.0130824632998948,-0.9567666570559248,-0.3347705568090137,-1.9290002606945152e-14
20240101OMR11,8,10,2,1.0,1.0,48.0,1,0,0.5032335791271851,0.2024351451431829,-0.6152407063585463,-0.7709133950947783,1.1961633967565106,1.3057642071864204,-1.1808426817081643
20240101OMR12,8,11,8,1.0,1.0,48.0,0,0,0.9461763553869336,1.029453946329003,-0.4675715972392295,0.0086711250836784,0.8780224734748264,0.373856397833416,0.5536102382055446
20240101ASY01,20,0,8,3.0,3.0,50.0,2,1,-0.1454624913006428,-0.3124053174089238,0.2148341834853041,0.2065275445660608,1.3499435053091104,-0.1012221914447191,0.1253924656438821
20240101ASY02,20,1,2,2.0,2.0,50.0,2,0,-0.2199800723445832,-0.4434977737254115,-0.2919052251191677,-0.4604107139308049,0.5050334595750814,-0.0717248052775036,-0.3530022548090902
20240101ASY03,20,2,2,2.0,2.0,50.0,0,1,0.9991931636822068,0.9589133406534572,0.9080062411010406,0.9173441270383412,0.7820071695929405,-0.026038925866217,0.694590627888746
20240101ASY04,20,3,2,3.0,3.0,50.0,2,0,0.1037658364353688,-0.0755195439558766,-0.0620378967627179,-0.4095272649095292,0.4153005060739444,-0.3948047125171842,0.0631446025353837
20240101ASY05,20,4,2,3.0,3.0,50.0,2,0,-0.5554208016387921,-0.5379110961595676,-1.213115838795087,-1.2188514290815458,0.9336320583825812,-0.203594274409297,-0.0719443078836693
20240101ASY06,20,5,1,2.0,2.0,50.0,2,0,-0.130852287093529,-0.5035616953913564,0.0963273892177603,-0.2851829483865167,-0.2056496681605887,-1.2164066333511625,0.5344593872674934
20240101ASY07,20,6,2,3.0,3.0,50.0,2,1,1.122019567064246,1.0169032762438686,0.685863615743538,0.6436517684664042,-0.109353466742661,1.5984995768625303,1.601028150670842
20240101ASY08,20,7,2,3.0,3.0,50.0,1,1,0.7308201328650858,1.0278138035664592,0.5366146830972763,0.5916976459162179,0.572514241212371,0.248952827145519,0.1253924656438667
20240101ASY09,20,8,2,3.0,3.0,50.0,2,1,-0.7688850761396353,-0.5663077546931603,-0.302939601542747,-0.4101181827870915,1.4279971295241387,0.0005476705860319,-0.1403033833165755
20240101ASY10,20,9,2,2.0,2.0,50.0,2,0,-1.8734099026365996,-1.974753238523811,-1.888005751224683,-1.9217685590936369,-0.543168243286437,0.8243974487309237,-0.0719443078836304
20240101ASY11,20,10,1,2.0,2.0,50.0,2,0,-0.6938118639372725,-0.6389327105253151,-0.2032958084705032,-0.1321957197479332,0.3587045975504801,-1.3297630726682217,0.452267016866636
20240101ASY12,20,11,1,1.0,1.0,50.0,1,0,-1.1799574621337914,-1.0214905869430868,-1.5103408230704387,-1.5445814530404245,0.3063450814910915,1.7218797342871843,0.7195620945013216
20240101WKM01,21,0,6,1.0,1.0,41.0,2,1,-0.7377996388316892,-0.8728236965165622,-0.919850873604552,-0.9559507601033368,-0.4148116620234781,-0.837929647882738,-1.4690847514854997
20240101WKM02,21,1,5,2.0,2.0,41.0,0,1,1.815271944073243,1.8193798428401755,1.4465157946916478,1.5386329815185824,1.606592541730241,1.370004689454543,-0.7905694150420786
20240101WKM03,21,2,5,1.0,1.0,41.0,2,0,-0.875186944372277,-0.9752036097834018,-0.0806704313746425,-0.4684359762008768,1.5078665070982693,0.5159666938296875,-0.6915724040453671
